corpus,filename,circular_no,date,title,url,downloaded_at,file_size_kb
rbi,233MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/233MD.PDF,2026-06-11T09:13:05.439543,270.8
rbi,232MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/232MD.PDF,2026-06-11T09:13:07.919668,397.7
rbi,231MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/231MD.PDF,2026-06-11T09:13:21.219134,859.1
rbi,230MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/230MD.PDF,2026-06-11T09:13:23.675825,283.5
rbi,229MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/229MD.PDF,2026-06-11T09:13:26.331341,512.2
rbi,228MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/228MD.PDF,2026-06-11T09:13:28.781259,361.6
rbi,227MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/227MD.PDF,2026-06-11T09:13:31.667835,793.1
rbi,226MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/226MD.PDF,2026-06-11T09:13:34.553678,529.4
rbi,225MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/225MD.PDF,2026-06-11T09:13:37.186943,574.5
rbi,383MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/383MD.PDF,2026-06-11T09:13:39.791281,247.0
rbi,224MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/224MD.PDF,2026-06-11T09:13:42.430768,481.4
rbi,223MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/223MD.PDF,2026-06-11T09:13:44.841089,296.6
rbi,222MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/222MD.PDF,2026-06-11T09:13:47.360424,362.7
