corpus,filename,circular_no,date,title,url,downloaded_at,file_size_kb
sebi,CU149-Ch2Attachment_202_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Form_20T1.pdf,unknown,2026-06-12,Attachment 2 to AMFI BP cir 110 dt. 31-Jan-24-Form T1.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch2Attachment%202%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Form%20T1.pdf,2026-06-12T00:59:45.530433,209.7
sebi,CU149-Ch3Attachment_203_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Form_20T2.pdf,unknown,2026-06-12,Attachment 3 to AMFI BP cir 110 dt. 31-Jan-24-Form T2.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch3Attachment%203%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Form%20T2.pdf,2026-06-12T00:59:45.535468,300.3
sebi,CU149-Ch4Attachment_204_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Form_20T3.pdf,unknown,2026-06-12,Attachment 4 to AMFI BP cir 110 dt. 31-Jan-24-Form T3.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch4Attachment%204%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Form%20T3.pdf,2026-06-12T00:59:45.537309,374.2
sebi,CU149-Ch5Attachment_205_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Form_20T4.pdf,unknown,2026-06-12,Attachment 5 to AMFI BP cir 110 dt. 31-Jan-24-Form T4.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch5Attachment%205%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Form%20T4.pdf,2026-06-12T00:59:45.537309,268.6
sebi,CU149-Ch6Attachment_206_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Form_20T5.pdf,unknown,2026-06-12,Attachment 6 to AMFI BP cir 110 dt. 31-Jan-24-Form T5.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch6Attachment%206%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Form%20T5.pdf,2026-06-12T00:59:45.537309,343.8
sebi,CU149-Ch7Attachment_207_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-I_20a.pdf,unknown,2026-06-12,Attachment 7 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-I a.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch7Attachment%207%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-I%20a.pdf,2026-06-12T00:59:45.537309,239.2
sebi,CU149-Ch8Attachment_208_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-I_20b.pdf,unknown,2026-06-12,Attachment 8 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-I b.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch8Attachment%208%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-I%20b.pdf,2026-06-12T00:59:45.543433,172.7
sebi,CU149-Ch9Attachment_209_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-II.pdf,unknown,2026-06-12,Attachment 9 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-II.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch9Attachment%209%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-II.pdf,2026-06-12T00:59:45.544672,175.3
sebi,CU149-Ch10Attachment_2010_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-III.pdf,unknown,2026-06-12,Attachment 10 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-III.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch10Attachment%2010%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-III.pdf,2026-06-12T00:59:45.544672,229.7
sebi,CU149-Ch11Attachment_2011_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-IV.pdf,unknown,2026-06-12,Attachment 11 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-IV.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch11Attachment%2011%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-IV.pdf,2026-06-12T00:59:45.544672,217.8
